Secteur	Date	DL1	DL2	Age	Espece	Surface	Hab
P6	28/03/1981	1	0	2	ST	207	1
P6	31/01/1988	10	0	2	ST	207	1
P6	09/03/1980	0	7	0	SF	207	1
P6	13/02/1978	18	30	0	SF	207	1
P6	13/02/1981	39	25	0	SF	207	1
P6	13/03/1980	42	0	0	SF	207	1
P6	28/03/1981	2	1	0	SF	207	1
P6	09/03/1980	9	3	1	SF	207	1
P6	13/02/1978	13	6	1	SF	207	1
P6	13/02/1981	6	2	1	SF	207	1
P6	13/03/1980	8	0	1	SF	207	1
P6	14/02/1982	13	1	1	SF	207	1
P6	15/02/1986	8	3	1	SF	207	1
P6	18/01/1985	16	2	1	SF	207	1
P6	28/03/1981	1	3	1	SF	207	1
P6	31/01/1988	16	0	1	SF	207	1
P6	09/03/1980	5	0	2	SF	207	1
P6	13/02/1978	4	1	2	SF	207	1
P6	13/02/1981	1	0	2	SF	207	1
P6	13/03/1980	3	0	2	SF	207	1
P6	14/02/1982	2	0	2	SF	207	1
P6	15/02/1986	1	2	2	SF	207	1
P6	18/01/1985	50	13	2	SF	207	1
P6	28/03/1981	0	1	2	SF	207	1
P6	31/01/1988	2	1	2	SF	207	1
