 XYZ	date	basin	area	DL1	DL2	DL3	DL4	NA	P1	P2	P3	PE
26210FermeNAFermeAval5887244532981	04/10/1971	Ferme	NA	5	8	NA	NA	NA	NA	NA	NA	NA
26226ChateauNAAvaldubrasmortniveauhall-fusee5928534533551	20/10/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26289ChateauNAAffluentrivegaucheenavaldubrasmorthallfusee5937874533929	22/12/1971	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26330StuderNADeversoirLac15732044542116	01/02/1972	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	50
26372Norvegienne1Aval5972594533530	14/03/1972	Norvegienne	NA	NA	NA	NA	NA	NA	17	15	NA	NA
26374Norvegienne2Amont5969784534524	16/03/1972	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
26380ChateauNAPetitbrasmortniveauhallfusee5927104533533	22/03/1972	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
26396Norvegienne1Aval5972594533530	07/04/1972	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
26429StuderNADeversoirLac15732044542116	10/05/1972	Studer	NA	29	15	NA	NA	NA	NA	NA	NA	NA
26449ChateauNA2kmenavalduhallfusee5946534533832	30/05/1972	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	10
26495Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	15/07/1972	Ferme	NA	NA	NA	NA	NA	NA	12	19	NA	NA
26496Ferme1Avalbassinincendie5887244532981	16/07/1972	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
26500Norvegienne1Aval5972594533530	20/07/1972	Norvegienne	NA	NA	NA	NA	NA	NA	8	9	NA	NA
26521StuderNADeversoirLac15732044542116	10/08/1972	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	13
26528Norvegienne1Aval5972594533530	17/08/1972	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	17
26529Norvegienne2Amont5969784534524	18/08/1972	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	36
26556StuderNADeversoirLac15732044542116	14/09/1972	Studer	NA	27	12	NA	NA	NA	NA	NA	NA	NA
26563Norvegienne1Aval5972594533530	21/09/1972	Norvegienne	NA	NA	NA	NA	NA	NA	24	11	NA	NA
26609Norvegienne1Aval5972594533530	06/11/1972	Norvegienne	NA	NA	NA	NA	NA	NA	20	8	NA	NA
26611Norvegienne2Amont5972884534173	08/11/1972	Norvegienne	NA	NA	NA	NA	NA	NA	17	16	NA	NA
26652Norvegienne1Aval5972594533530	19/12/1972	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	11
26653Norvegienne2SS24Ruisseaurivegauche.avalpool85973524534429	20/12/1972	Norvegienne	750	NA	NA	NA	NA	NA	NA	NA	NA	15
26670Norvegienne3SS3(amontdusecteur).1kmenamontdusecteur:80mdansunpool+courant5969784534524	06/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
